query_number,query,rank,is_number,title,hybrid_score,status,relevance,notes
1,We need ordinary Portland cement for building construction.,1,IS 269:2015,Ordinary portland cement - Specification (Sixth Revision),0.9964,Current,,
1,We need ordinary Portland cement for building construction.,2,IS 16993:2018,Microfine Ordinary Portland Cement - Specification,0.8426,Current,,
1,We need ordinary Portland cement for building construction.,3,IS 8042:2015,White Portland Cement - Specification (Third Revision),0.7424,Current,,
1,We need ordinary Portland cement for building construction.,4,IS 455:2015,Portland slag cement - Specification (fifth revision),0.7159,Current,,
1,We need ordinary Portland cement for building construction.,5,IS 8043:1991,Hydrophobic Portland Cement - Specification (Second Revision),0.7149,Current,,
1,We need ordinary Portland cement for building construction.,6,IS 18189:2023,Portland Calcined Clay Limestone Cement - Specification,0.7037,Not Available,,
1,We need ordinary Portland cement for building construction.,7,IS 516 (Part 11):2020,Hardened Concrete - Methods of Test: Part 11 Determination of Portland Cement Content of Hardened Hydraulic Cement Concrete ( First Revision ),0.6192,Current,,
1,We need ordinary Portland cement for building construction.,8,IS 1489 (Part 2):2015,Portland Pozzolana Cement - Specification: Part 2 Calcined Clay Based (Fourth Revision),0.6178,Current,,
1,We need ordinary Portland cement for building construction.,9,IS 12600:1989,"Portland Cement, Low Heat - specification",0.578,Current,,
1,We need ordinary Portland cement for building construction.,10,IS 1489 (Part 1):2015,Portland Pozzolana Cement - Specification: Part 1 fly Ash Based (Fourth Revision),0.5753,Current,,
2,We need steel reinforcement bars for a residential building.,1,IS 19068:2025,Continuous hot-dip galvanized steel bars for concrete reinforcement - Specification,0.925,Not Available,,
2,We need steel reinforcement bars for a residential building.,2,IS 16172:2023,Reinforcement Couplers for Mechanical Splices of Steel Bars in Concrete - Specification (First Revision),0.9097,Current,,
2,We need steel reinforcement bars for a residential building.,3,IS 16651:2017,High Strength Deformed Stainless Steel Bars and Wires for Concrete Reinforcement - Specification,0.8718,Current,,
2,We need steel reinforcement bars for a residential building.,4,IS 2090:1983,Specification for High Tensile Steel Bars Used in Prestressed Concrete (First Revision),0.8152,Current,,
2,We need steel reinforcement bars for a residential building.,5,IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement - Specification (Fourth Revision),0.7219,Current,,
2,We need steel reinforcement bars for a residential building.,6,IS 432 (Part 1):2026,Specification for Mild Steel And Medium Tensile Steel Bars and Hard-Drawn Steel Wire for Concrete Reinforcement Part 1 Mild Steel and Medium Tensile Steel Bars Fourth Revision,0.6772,Not Available,,
